"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Lee S.; Zhong G.; Lian C.; Correa D.","Lee, Sabrina (59419475200); Zhong, Gracey (59418971800); Lian, Catherine (59419056300); Correa, David (56108195000)","59419475200; 59418971800; 59419056300; 56108195000","Climate-responsive Hygroscopic: Wood Bilayers Programmed via Laser Modification","2024","Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe","1","","","361","370","2","10.52842/conf.ecaade.2024.1.361","https://www.scopus.com/pages/publications/85209773472?origin=resultslist","University of Waterloo, Canada","Lee S., University of Waterloo, Canada; Zhong G., University of Waterloo, Canada; Lian C., University of Waterloo, Canada; Correa D., University of Waterloo, Canada","Wood is a hygroscopic material that experiences directional swelling when it undergoes changes in moisture content. This anisotropic property can induce bending in bilayer structures; a reaction that is usually undesired in building construction but is now being studied as a means of creating climate-responsive architectural systems. While there are extensive studies describing how to change the bending direction by altering wood grain orientation and composition during lamination or via 4D printing, there is no known method of modifying the curvature direction after the bilayer has been made. In this paper, laser cutting is presented as a novel post processing method that precisely and efficiently manipulates the directional swelling of commercially available bilayer wood composites. The documented tests in this paper utilize ¼” thick C4 PureBond Maple Plywood, which is made of a thicker, primary (active) layer of wood that is laminated between two thinner, secondary (constraining) layers of wood. When a conventional laser cutter is used to cut and engrave patterns on this pre-laminated material, unique curling deformations, including bi-directional curling, can be achieved. The architectural potential of the resulting bilayer tailoring mechanisms was demonstrated through the development of a proof-of-concept climate-responsive architectural facade system. Further exploration and refinement of this new method could significantly impact the commercial development of responsive facades by facilitating the mass use and customization of multi-directional climate-responsive mechanisms. This process will ultimately reduce costs and carbon consumption by taking advantage of readily available wood products’ innate material properties. © 2024, Education and research in Computer Aided Architectural Design in Europe. All rights reserved.","Anisotropic; Bilayer; Climate-responsive; Facades; Hygroscopic; Laser; Plywood; Wood","","","","","Kontovourkis O.; Phocas M.C.; Wurzer G.","Education and research in Computer Aided Architectural Design in Europe","26841843","978-949120737-2","","","English","Proc. Int. Conf. Educ. Res. Comput. Aided. Archit. Des. Eur.","Conference paper","Final","","Scopus","2-s2.0-85209773472"
"Zheng W.; Li Y.H.; Qu L.; Yuan G.","Zheng, WuJi (56597245700); Li, Ying Hui (55906195400); Qu, Liang (55906977400); Yuan, Guoqiang (56988473600)","56597245700; 55906195400; 55906977400; 56988473600","Dynamic envelope determination based on differential manifold theory","2017","Journal of Aircraft","54","5","","2003","2007","19","10.2514/1.C034258","https://www.scopus.com/pages/publications/85044304598?origin=resultslist","Air Force Engineering University, Xi'an, 710038, China; Department of Flight Control and Electrical Engineering, School of Aeronautics and Astronautics Engineering, United States","Zheng W., Air Force Engineering University, Xi'an, 710038, China, Department of Flight Control and Electrical Engineering, School of Aeronautics and Astronautics Engineering, United States; Li Y.H., Air Force Engineering University, Xi'an, 710038, China, Department of Flight Control and Electrical Engineering, School of Aeronautics and Astronautics Engineering, United States; Qu L., Air Force Engineering University, Xi'an, 710038, China, Department of Flight Control and Electrical Engineering, School of Aeronautics and Astronautics Engineering, United States; Yuan G., Air Force Engineering University, Xi'an, 710038, China, Department of Flight Control and Electrical Engineering, School of Aeronautics and Astronautics Engineering, United States","[No abstract available]","","","National Natural Science Foundation of China, NSFC, (61374145); National Natural Science Foundation of China, NSFC; National Basic Research Program of China (973 Program), (2015CB755805); National Basic Research Program of China (973 Program)","This study was cosupported by the National Key Basic Research Program of China (number 2015CB755805) and the National Natural Science Foundation of China (number 61374145).","","","American Institute of Aeronautics and Astronautics Inc.","00218669","","JAIRA","","English","J Aircr","Article","Final","","Scopus","2-s2.0-85044304598"
"Balocco C.; Gori V.; Marmonti E.; Citi L.","Balocco, Carla (6603095395); Gori, Virginia (55871123100); Marmonti, Enrico (55119575700); Citi, Luca (15623297800)","6603095395; 55871123100; 55119575700; 15623297800","Building-plant system energy sustainability. An approach for transient thermal performance analysis","2012","Energy and Buildings","49","","","443","453","2","10.1016/j.enbuild.2012.02.048","https://www.scopus.com/pages/publications/84861838567?origin=resultslist","Dipartimento di Energetica Sergio Stecco, Università di Firenze, Firenze, Italy; Massachusetts Institute of Technology, Cambridge, MA, United States","Balocco C., Dipartimento di Energetica Sergio Stecco, Università di Firenze, Firenze, Italy; Gori V., Dipartimento di Energetica Sergio Stecco, Università di Firenze, Firenze, Italy; Marmonti E., Dipartimento di Energetica Sergio Stecco, Università di Firenze, Firenze, Italy; Citi L., Massachusetts Institute of Technology, Cambridge, MA, United States","The aim of this research is to investigate the thermophysical behaviour of building envelope multi-layer components and assess the whole building-plant response. The investigation was carried out in two different phases. The first phase concerned the study of the dynamic response of building envelope multi-layer components, by providing an improved implementation of the present European Standard UNI EN ISO 13786:2008. The proposed method allows one to determine the transient thermophysical performance of opaque building components that are associated with a thermal zone maintained at constant or variable air temperature. The variable internal air temperature can be associated with experimental data. The second phase consisted of a transient analysis of the above thermal zone with a conditioning plant working. The building plant simulations were carried out by EnergyPlus software. The method proposed, based on European standards, is particularly useful in the perspective of the Certification of the Energy Performance of the building-plant system, required by the European Union. It can provide a useful tool for developing an abacus of different envelope multi-layer component performances in order to support design choices. © 2012 Elsevier B.V. All rights reserved.","Building thermal peak loads; Building-plant simulation; Energy sustainability; Thermal inertia; Transient thermal analysis","Atmospheric temperature; Dynamic response; Solar buildings; Thermoanalysis; Building-plant simulation; Energy sustainability; Thermal inertia; Thermal peaks; Transient thermal analysis; Building codes","","","C. Balocco; Dipartimento di Energetica Sergio Stecco, Università di Firenze, Firenze, Italy; email: carla.balocco@unifi.it","","","03787788","","ENEBD","","English","Energy Build.","Article","Final","","Scopus","2-s2.0-84861838567"
"Shen H.; Tzempelikos A.","Shen, Hui (57199934900); Tzempelikos, Athanasios (9039355700)","57199934900; 9039355700","Daylighting and energy analysis of private offices with automated interior roller shades","2012","Solar Energy","86","2","","681","704","148","10.1016/j.solener.2011.11.016","https://www.scopus.com/pages/publications/84855814331?origin=resultslist","School of Civil Engineering, Purdue University, West Lafayette, IN 47907, 550 Stadium Mall Dr., United States","Shen H., School of Civil Engineering, Purdue University, West Lafayette, IN 47907, 550 Stadium Mall Dr., United States; Tzempelikos A., School of Civil Engineering, Purdue University, West Lafayette, IN 47907, 550 Stadium Mall Dr., United States","This paper presents a comprehensive analysis to study the balance between daylighting benefits and energy requirements (control of solar gains) in perimeter private office spaces with interior roller shades taking into account glazing properties, shading properties and control together with window size, climate and orientation in an integrated daylighting and thermal manner. Daylight autonomy and useful daylight illuminances were computed as a function of façade design parameters. A thermal simulation module using the explicit finite difference thermal network approach runs at the same time step and calculates heating, cooling and lighting source energy consumption as well as surface temperatures and operative temperature. Based on the daylighting results, lighting internal gains (continuous dimming control) are simultaneously input to the thermal module. The model also considers the air in the gap between shade and interior glass as a separate thermal node. Detailed results for Chicago and Los Angeles showed that windows with visible transmittance higher than 50% have the ability to allow enough daylight into the space for all locations and orientations for window-to-wall ratios higher than 50%. Useful daylight illuminances between 500 and 1000 lux were considered in detail - it was found that this index can be maximized for specific window-to-wall ratios and that depends on the glazing properties and fabric properties for each orientation. Moreover, the complex interactions of the studied parameters and their impact on the heating, cooling and lighting energy performance revealed an interesting result: windows occupying 30-50% of the façade can actually result in lower total energy consumption for most cases with automated shading. This illustration of daylighting benefits can be realized only if the integration of daylighting and thermal climate-based analysis is modeled efficiently and depends on glazing and shading properties and control. Finally, best designs for each orientation and location were pointed out based on both daylighting and thermal results. © 2011 Elsevier Ltd.","Building simulation; Daylighting; Dynamic façades; Energy; Energy consumption; Roller shades","California; Chicago; Illinois; Los Angeles [California]; United States; Climate control; Computer simulation; Energy utilization; Glazes; Office buildings; Rollers (machine components); Solar energy; Walls (structural partitions); Building simulation; Chicago; Complex interaction; Comprehensive analysis; Daylighting benefits; Design parameters; Dimming control; Energy; Energy analysis; Energy performance; Energy requirements; Fabric properties; Finite difference; Los Angeles; Office space; Operative temperature; Roller shades; Solar gain; Surface temperatures; Thermal modules; Thermal network; Thermal simulations; Time step; Total energy consumption; Useful daylight illuminance; Visible transmittance; Window Size; Window-to-wall ratio; architectural design; automation; cooling; energy efficiency; fuel consumption; glass; heating; lightning; numerical model; renewable resource; shading; solar power; solar radiation; transmittance; workplace; Daylighting","U.S. Department of Energy, USDOE; Purdue Research Foundation","The authors would like to thank the US Department of Energy for funding this work through the Energy Innovation Hub (GPIC for Energy-Efficient Buildings) and the Purdue Research Foundation for the support. ","A. Tzempelikos; School of Civil Engineering, Purdue University, West Lafayette, IN 47907, 550 Stadium Mall Dr., United States; email: ttzempel@purdue.edu","","","0038092X","","SRENA","","English","Sol. Energy","Article","Final","","Scopus","2-s2.0-84855814331"
"Bishara A.; Kramberger H.","Bishara, Ayman (56317139100); Kramberger, Helge (55961090700)","56317139100; 55961090700","Hygrothermal Assessment of a Façade with ETICS Using Dynamic Monitoring and Numerical Simulation in a Real Case Study","2023","AIP Conference Proceedings","2918","1","020007","","","0","10.1063/5.0171316","https://www.scopus.com/pages/publications/85178051226?origin=resultslist","Dr. Robert-Murjahn-Institut (RMI), Industrie St. 12, Ober-Ramstadt, D-64372, Germany","Bishara A., Dr. Robert-Murjahn-Institut (RMI), Industrie St. 12, Ober-Ramstadt, D-64372, Germany; Kramberger H., Dr. Robert-Murjahn-Institut (RMI), Industrie St. 12, Ober-Ramstadt, D-64372, Germany","The trend towards the application of external thermal insulation composite systems (ETICS) on energy efficient façades under hot climatic conditions, is becoming increasingly important for energy saving in summer (summer heat protection). However, both the construction and the performance of the system should be investigated to ensure the functionality and the avoidance of damage. In this paper, the development and the functionality of ETICS as well as the analysis of measurement data for solving building-climatology challenging planning tasks in warm countries is presented. Related to the measurement data collected in a real case study, the results of a hydrothermal simulation tool are validated. Based on this, the use of thermal insulation under hot climatic conditions, for energy saving in summer, has been verified and the implementation into a simulation model is shown. For the verification of results, a case study in the campus of the American University in Ras al Khaimah (RAKRIC), in United Arab Emirates (UAE) was chosen, in which interior and exterior temperature and relative humidity values were measured. Even with the peculiarity of an irregular user behavior of the building, good accordance between measured and calculated values could be achieved. The optimized building design, facilitating a damage-free operation and a low building energy consumption, is presented in detail and essential optimization steps are discussed. Based on the analysis and evaluation of measurement data as well as the implementation of hygrothermal simulations, the presented study provides a guideline for planning of ETICS with respect to southern climate conditions. © 2023 American Institute of Physics Inc.. All rights reserved.","","","","","A. Bishara; Dr. Robert-Murjahn-Institut (RMI), Ober-Ramstadt, Industrie St. 12, D-64372, Germany; email: Ayman.bishara@dr-rmi.de","Matiasovsky P.; Cekon M.; Medved'� I.","American Institute of Physics Inc.","0094243X","","","","English","AIP Conf. Proc.","Conference paper","Final","","Scopus","2-s2.0-85178051226"
"Stazi F.; Vegliò A.; Di Perna C.; Munafò P.","Stazi, Francesca (26422608200); Vegliò, Ambra (45061127100); Di Perna, Costanzo (55904497600); Munafò, Placido (54385800600)","26422608200; 45061127100; 55904497600; 54385800600","Retrofitting using a dynamic envelope to ensure thermal comfort, energy savings and low environmental impact in Mediterranean climates","2012","Energy and Buildings","54","","","350","362","35","10.1016/j.enbuild.2012.07.020","https://www.scopus.com/pages/publications/84865622141?origin=resultslist","Università Politecnica Delle Marche, Facoltà di Ingegneria, Dipartimento di Ingegneria Civile, Edile e Architettura (DICEA), 60131 Ancona, Via Brecce Bianche, Italy; Dipartimento di Ingegneria Industriale e Scienze Matematiche, Facoltà di Ingegneria, Università Politecnica Delle Marche, 60131 Ancona, Via Brecce Bianche, Italy","Stazi F., Università Politecnica Delle Marche, Facoltà di Ingegneria, Dipartimento di Ingegneria Civile, Edile e Architettura (DICEA), 60131 Ancona, Via Brecce Bianche, Italy; Vegliò A., Università Politecnica Delle Marche, Facoltà di Ingegneria, Dipartimento di Ingegneria Civile, Edile e Architettura (DICEA), 60131 Ancona, Via Brecce Bianche, Italy; Di Perna C., Dipartimento di Ingegneria Industriale e Scienze Matematiche, Facoltà di Ingegneria, Università Politecnica Delle Marche, 60131 Ancona, Via Brecce Bianche, Italy; Munafò P., Università Politecnica Delle Marche, Facoltà di Ingegneria, Dipartimento di Ingegneria Civile, Edile e Architettura (DICEA), 60131 Ancona, Via Brecce Bianche, Italy","The paper presents an experimental and analytic study on multi-storey residential buildings without thermal insulation that were constructed before the introduction of energy saving standards (Italian Law 373/1976). Several activities were carried out to identify the optimal retrofit in terms of comfort, energy consumption and environmental impact: typological analysis of 70 buildings in the province of Macerata (Central Italy) and energy analysis of representative case studies; monitoring of a selected case study during summer and winter; thermal simulation of the building in dynamic conditions with EnergyPlus software and calibration of the virtual model by comparison with experimental results; parametric analyses to predict the effect of various retrofit solutions on comfort and energy consumption; environmental impact on the different solutions. It was possible to identify the optimal retrofit solutions for the external vertical and horizontal envelopes. The study showed that the most effective strategy is the insulation of the external vertical wall. The introduction of an external ventilated coating was found to be the optimal solution in a temperate climate. © 2012 Elsevier B.V. All rights reserved.","Adaptive comfort; Comparative life cycle assessment; Dynamic building envelope; Energy efficient retrofit; Environmental impact; Experimental study and parametric analyses; Ventilated insulation coating","Climatology; Coatings; Electric load forecasting; Energy efficiency; Energy utilization; Life cycle; Optimization; Retrofitting; Adaptive comfort; Building envelopes; Comparative life cycle assessment; Energy efficient; Insulation coatings; Parametric analysis; Environmental impact","","","F. Stazi; Università Politecnica Delle Marche, Facoltà di Ingegneria, Dipartimento di Ingegneria Civile, Edile e Architettura (DICEA), 60131 Ancona, Via Brecce Bianche, Italy; email: f.stazi@univpm.it","","","03787788","","ENEBD","","English","Energy Build.","Article","Final","","Scopus","2-s2.0-84865622141"
"Ip K.; Lam M.; Miller A.","Ip, Kenneth (7006315597); Lam, Marta (35074399100); Miller, Andrew (57217414264)","7006315597; 35074399100; 57217414264","Shading performance of a vertical deciduous climbing plant canopy","2010","Building and Environment","45","1","","81","88","167","10.1016/j.buildenv.2009.05.003","https://www.scopus.com/pages/publications/70249119591?origin=resultslist","Centre for Sustainability of the Built Environment, School of Environment and Technology, University of Brighton, Brighton, East Sussex, Cockcroft Building, Lewes Road, BN2 4GJ, United Kingdom","Ip K., Centre for Sustainability of the Built Environment, School of Environment and Technology, University of Brighton, Brighton, East Sussex, Cockcroft Building, Lewes Road, BN2 4GJ, United Kingdom; Lam M., Centre for Sustainability of the Built Environment, School of Environment and Technology, University of Brighton, Brighton, East Sussex, Cockcroft Building, Lewes Road, BN2 4GJ, United Kingdom; Miller A., Centre for Sustainability of the Built Environment, School of Environment and Technology, University of Brighton, Brighton, East Sussex, Cockcroft Building, Lewes Road, BN2 4GJ, United Kingdom","Deciduous climbing plant canopies strategically integrated to building façades can act as dynamic solar shading devices responsive to the seasonal climatic changes. Maximum shading occurs in the summer when the plant is at its peak growth. The shedding of leaves in autumn and winter reduces the shading and allows beneficial solar radiation to be absorbed by the opaque surface of the building façade or penetrated through the windows to the building interior. Although climbing plants have long been used for moderating the microclimate of buildings, there are very few scientific investigations to quantify such effects. This paper reports the findings of a study with specific focus on the shading performance of a vertical deciduous climbing plant canopy. It justifies the selection of Virginia Creeper as an appropriate plant for growth in the UK climate and describes the planting, monitoring and analysis procedures adopted to determine a proposed dynamic Bioshading Coefficient Function - which is used to represent the shading performance of the climbing plant canopy over its annual growing and wilting cycle. A thermal model was developed which identified the key parameters required for establishing the Bioshading Coefficients. Two climbing plant canopies (referred to as Bioshaders) were set up in an existing building in Southeast UK and monitored for 2 years. Measured data were used to calculate a series of daily Bioshading Coefficients which were subsequently applied to establish the Bioshading Coefficient Function. The research also identified issues affecting the indoor environment as a result of the application of Bioshaders. © 2009 Elsevier Ltd. All rights reserved.","Bioshading Coefficient, Bioshader; Deciduous climbing plant canopy; External shading device; Shading coefficient","Eurasia; Europe; United Kingdom; Western Europe; Parthenocissus quinquefolia; Agriculture; Sun; A-thermal; Bioshading Coefficient, Bioshader; Climatic changes; Coefficient functions; Deciduous climbing plant canopy; Existing building; External shading device; Indoor environment; Key parameters; Measured data; Monitoring and analysis; Opaque surfaces; Plant canopies; Scientific investigation; Shading coefficient; Solar shadings; Virginia; building; canopy; climate change; climbing plant; microclimate; shading; solar radiation; Buildings","School of Environment and Technology of University of Brighton","This research work was funded by the School of Environment and Technology of University of Brighton. The authors would also like to express their gratitude for sponsorship of the metallic framework from Jakob ® , UK.","K. Ip; Centre for Sustainability of the Built Environment, School of Environment and Technology, University of Brighton, Brighton, East Sussex, Cockcroft Building, Lewes Road, BN2 4GJ, United Kingdom; email: k.ip@brighton.ac.uk","","","03601323","","BUEND","","English","Build. Environ.","Article","Final","","Scopus","2-s2.0-70249119591"
"LaFrance J.T.; Barney L.D.","LaFrance, Jeffrey T. (6601962551); Barney, L.Dwayne (8702292200)","6601962551; 8702292200","The envelope theorem in dynamic optimization","1991","Journal of Economic Dynamics and Control","15","2","","355","385","45","10.1016/0165-1889(91)90018-V","https://www.scopus.com/pages/publications/0000345064?origin=resultslist","Montana State University, Bozeman, MT 59717, United States; Boise State University, Boise, ID 83725, United States","LaFrance J.T., Montana State University, Bozeman, MT 59717, United States; Barney L.D., Boise State University, Boise, ID 83725, United States","The dynamic envelope theorem is presented for optimal control problems with nondifferential constraints. Some of these constraints may switch from binding to nonbinding, or vice versa, along the optimal path. Twice continuous differentiability of the optimal performance function and intertemporal symmetry and reciprocity conditions are shown to follow from the envelope theorem and twice continuous differentiability of the integrand, state equations, and constraints. Conditions implying convexity or concavity of the optimal performance function in the parameters are derived. Dynamic versions of Hotelling's Lemma, Roy's Identity, and the Slutsky equation are presented for an intertemporal consumption problem. © 1991.","","","North Carolina State University, NCSU","*Part of this research was completed while the first author was visiting the Department of Economics and Business at North Carolina State University/The support of North Carolina State University is gratefully acknowledged. The comments of Bruce Beattie, Mike Caputo, Jim Hess, and two anonymous reviewers are greatly appreciated/As usual, however, any remaining errors are our responsibility. A contribution of the Montana Agricultural Experiment Station, Journal Series number 2418.","","","","01651889","","JEDCD","","English","J. Econ. Dyn. Control","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-0000345064"
"Dąbrowska-żółtak K.; Kwieciński K.; Oszczyk J.","Dąbrowska-żółtak, Karolina (57366408300); Kwieciński, Krystian (44861430700); Oszczyk, Jakub (59418890400)","57366408300; 44861430700; 59418890400","Maximizing Solar Energy Harvesting of the Kinetic Photovoltaic System","2024","Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe","1","","","283","290","0","10.52842/conf.ecaade.2024.1.283","https://www.scopus.com/pages/publications/85209791827?origin=resultslist","Warsaw University of Technology, Poland","Dąbrowska-żółtak K., Warsaw University of Technology, Poland; Kwieciński K., Warsaw University of Technology, Poland; Oszczyk J., Warsaw University of Technology, Poland","This study presents a methodfor analyzing the energy efficiency of photovoltaic (PV) panels in various configurations, including static, single-axis, and dual-axis tracking systems, specifically applied to canopies. Focusing on a selected location in Central Europe — Warsaw (52°13r N), the research utilizes numerica! analyses and local weather data to understand the energy gains from these systems by considering their orientation and the sun's path throughout the nyear. Key findings indicate the energy increase for each of analyzed tracking system compared to static flat panels, demonstrating the closeness of the results obtained in the case of appropriately selected single-axis versus dual-axis systems. This research contributes to optimizing the use of PV panels on canopies in renewable energy for centra! Europe, offering valuable insights for professionals in the field. © 2024, Education and research in Computer Aided Architectural Design in Europe. All rights reserved.","Kinetic Architecture; Photovoltaic; Solar Tracking System","","","","","Kontovourkis O.; Phocas M.C.; Wurzer G.","Education and research in Computer Aided Architectural Design in Europe","26841843","978-949120737-2","","","English","Proc. Int. Conf. Educ. Res. Comput. Aided. Archit. Des. Eur.","Conference paper","Final","","Scopus","2-s2.0-85209791827"
"Fordham C.","Fordham, Clifton (57217153341)","57217153341","Richard neutra and the history of the vertical louvered solar control system","2018","Building Knowledge, Constructing Histories","1","","","637","642","1","10.1201/9780429506208-81","https://www.scopus.com/pages/publications/85086487453?origin=resultslist","Temple University, Philadelphia, United States","Fordham C., Temple University, Philadelphia, United States","Solar control strategies involving exterior shading devices were commonly utilized by architects practicing in America immediately after World War II. By the mid-fifties as central air-conditioning became the default for larger buildings, architects largely abandoned form based solar-control strategies in lieu of window treatments for light control. This paper traces the development, in which Richard Neutra is a central figure, of an innovative movable vertical louver shading system that controlled heat gain and regulated glare. The system which was both ornamental and functional is largely unknown to current building design professionals. Early versions of the system were manually adjusted, and the mature system automated and linked to sensors. The last of the buildings to contain the system in the United States before its disappearance in before 1970 were rare examples of high-tech kinetic architecture. A limited revival of the system has resulted from a renewed interest in solar control outside of the building envelope. © 2018 6ICCH, Brussels, Belgium.","1940s to 1950s; Louvers; Shading; United States","Air conditioning; Military operations; Building design; Building envelopes; Central air-conditioning; Kinetic architectures; Shading devices; Shading systems; Solar control; Solar control system; Architectural design","","","","Wouters I.; Van de Voorde S.; Bertels I.; Espion B.; De Jonge K.; Zastavni D.","CRC Press/Balkema","","978-113858414-3","","","English","Build. Knowl., Construct. Hist. - Proc. Int. Congr. Construct. Hist.","Conference paper","Final","","Scopus","2-s2.0-85086487453"
"Ishii M.; Okushima L.; Moriyama H.; Sase S.; Fukuchi N.; Maruo T.; Both A.J.","Ishii, M. (15131522800); Okushima, L. (56246876900); Moriyama, H. (15078147700); Sase, S. (7003581477); Fukuchi, N. (57188731797); Maruo, T. (7103049262); Both, A.J. (13406412100)","15131522800; 56246876900; 15078147700; 7003581477; 57188731797; 7103049262; 13406412100","Evaluating environmental conditions in open-roof greenhouses","2017","Acta Horticulturae","1170","","","897","904","0","10.17660/ActaHortic.2017.1170.115","https://www.scopus.com/pages/publications/85029605831?origin=resultslist","National Institute for Rural Engineering, National Agricultural and Food Research Organization (NARO), Ibaraki, Japan; College of Bioresource Sciences, Nihon University, Kanagawa, Japan; Chiba Prefectural Agriculture and Forestry Research Center, Chiba, Japan; Graduate School of Horticulture, Chiba University, Chiba, Japan; Department of Environmental Sciences, Rutgers University, NJ, United States","Ishii M., National Institute for Rural Engineering, National Agricultural and Food Research Organization (NARO), Ibaraki, Japan; Okushima L., National Institute for Rural Engineering, National Agricultural and Food Research Organization (NARO), Ibaraki, Japan; Moriyama H., National Institute for Rural Engineering, National Agricultural and Food Research Organization (NARO), Ibaraki, Japan; Sase S., College of Bioresource Sciences, Nihon University, Kanagawa, Japan; Fukuchi N., Chiba Prefectural Agriculture and Forestry Research Center, Chiba, Japan; Maruo T., Graduate School of Horticulture, Chiba University, Chiba, Japan; Both A.J., Department of Environmental Sciences, Rutgers University, NJ, United States","Typical cooling methods for greenhouses include natural and mechanical ventilation, shading and evaporative cooling. For natural ventilation systems, larger vent openings often improve the ventilation performance. Open-roof greenhouses have particularly large vent openings. The effects of vent design on natural ventilation and the resulting temperature difference between the inside and outside environments of a conventional and two different open-roof greenhouse designs were studied experimentally during the summer and autumn. The roof vent designs investigated were: a conventional arched-roof vent type (AVT), roof sections hinging at the gutters and opening at the ridge (RV), and roof sections sliding on a lattice beam and opening at the gutter (GV). When the roof vents were fully opened in the RV and GV, the inside air temperatures were consistently significantly lower compared to the fully opened roof vent of the AVT. In addition, three different light conditions for open-roof greenhouses (GV) were investigated using no shading (Control), 50% shading and 100% shading (using typical internal and movable greenhouse shading screen materials). When the roof vents were fully open under either 50 or 100% shading, the resulting inside air temperatures were higher than the Control. Moreover, the wet-bulb globe temperature (WBGT, environmental heat stress index on humans) under 100% shading was significantly higher than under the 50% shading and Control. These results confirmed that the restricted ventilation due to the 100% shading was ineffective in reducing the air temperature in an open-roof greenhouse during high light and air temperature conditions. In addition, two cooling methods were examined: Control and 100% shading combined with fogging. For the latter, the resulting air temperature was lower and relative humidity was higher than the Control. Future work will hopefully result in an environmental control system for solar radiation, temperature, relative humidity, and carbon dioxide concentrations inside open-roof greenhouses. © 2017 ISHS.","Air temperature; Evaporative cooling; Natural ventilation; Shading; Wet-bulb globe temperature","","","","","Silva L.L.; Meneses J.F.; Baptista F.J.","International Society for Horticultural Science","05677572","978-946261166-5","","","English","Acta Hortic.","Conference paper","Final","","Scopus","2-s2.0-85029605831"
"Patania F.; Gagliano A.; Nocera F.; Ferlito A.; Galesi A.","Patania, F. (6603949765); Gagliano, A. (7003725643); Nocera, F. (7004439906); Ferlito, A. (36011501200); Galesi, A. (22984641900)","6603949765; 7003725643; 7004439906; 36011501200; 22984641900","Thermofluid-dynamic analysis of ventilated facades","2010","Energy and Buildings","42","7","","1148","1155","92","10.1016/j.enbuild.2010.02.006","https://www.scopus.com/pages/publications/77951112026?origin=resultslist","Department of Ingegneria Industriale e Meccanica D.I.I.M., Faculty of Engineering, University of Catania, 95125 Catania, Viale A. Doria n.6, Italy","Patania F., Department of Ingegneria Industriale e Meccanica D.I.I.M., Faculty of Engineering, University of Catania, 95125 Catania, Viale A. Doria n.6, Italy; Gagliano A., Department of Ingegneria Industriale e Meccanica D.I.I.M., Faculty of Engineering, University of Catania, 95125 Catania, Viale A. Doria n.6, Italy; Nocera F., Department of Ingegneria Industriale e Meccanica D.I.I.M., Faculty of Engineering, University of Catania, 95125 Catania, Viale A. Doria n.6, Italy; Ferlito A., Department of Ingegneria Industriale e Meccanica D.I.I.M., Faculty of Engineering, University of Catania, 95125 Catania, Viale A. Doria n.6, Italy; Galesi A., Department of Ingegneria Industriale e Meccanica D.I.I.M., Faculty of Engineering, University of Catania, 95125 Catania, Viale A. Doria n.6, Italy","Ventilated facades can be used in cases of renovation of existing buildings and new buildings to improve both the thermal performance of building, and external architectural skin. The energy advantage provided by the ventilated facades during the summer is the reduction of the heat load due to the combined effect of the shading of the external wall and the air flow caused by natural convection into the heated duct. The evaluation of ventilated facade performance requires a complete thermofluid-dynamic analysis of a ventilated air duct and an accurate knowledge of heat transfer coefficients, friction factors and thermo-physical properties of the materials. The Authors have used the computer code ""Fluent"" to investigate the thermal behaviour of three different typologies of ventilated facades. The aim of this research is to show an analytical method for design applications able to provide all the useful criteria for choosing the most suitable ventilated facades both in case of forced convection, due to the action of a fan, and natural convection due to stack effect. © 2010 Elsevier B.V. All rights reserved.","Energy saving; Forced convection; Natural convection; Ventilated facades","Computer crime; Dynamic analysis; Energy conservation; Facades; Forced convection; Heat transfer; Materials properties; Natural convection; Air ducts; Air flow; Analytical method; Combined effect; Computer codes; Design applications; Energy saving; Existing building; External walls; Friction factors; Heat loads; Stack effect; Thermal behaviours; Thermal performance of buildings; Thermo-fluid-dynamic analysis; Thermo-physical property; Ventilation","","","A. Gagliano; Department of Ingegneria Industriale e Meccanica D.I.I.M., Faculty of Engineering, University of Catania, 95125 Catania, Viale A. Doria n.6, Italy; email: agagliano@diim.unict.it","","","03787788","","ENEBD","","English","Energy Build.","Article","Final","","Scopus","2-s2.0-77951112026"
